__run_id,__done,baseline,avg_current_amps,avg_supply_voltage,avg_power_watts
run_0_repetition_0,DONE,True, , , 
run_0_repetition_1,DONE,True, , , 
run_0_repetition_2,DONE,True, , , 
run_0_repetition_3,DONE,True, , , 
run_0_repetition_4,DONE,True, , , 
run_0_repetition_5,DONE,True, , , 
run_0_repetition_6,DONE,True, , , 
run_0_repetition_7,DONE,True, , , 
run_0_repetition_8,DONE,True, , , 
run_0_repetition_9,DONE,True, , , 
run_0_repetition_10,DONE,True, , , 
run_0_repetition_11,DONE,True, , , 
run_0_repetition_12,DONE,True, , , 
run_0_repetition_13,DONE,True, , , 
run_0_repetition_14,DONE,True, , , 
run_0_repetition_15,DONE,True, , , 
run_0_repetition_16,DONE,True, , , 
run_0_repetition_17,DONE,True, , , 
run_0_repetition_18,DONE,True, , , 
run_0_repetition_19,DONE,True, , , 
run_0_repetition_20,DONE,True, , , 
run_0_repetition_21,DONE,True, , , 
run_0_repetition_22,DONE,True, , , 
run_0_repetition_23,DONE,True, , , 
run_0_repetition_24,DONE,True, , , 
run_0_repetition_25,DONE,True, , , 
run_0_repetition_26,DONE,True, , , 
run_0_repetition_27,DONE,True, , , 
run_0_repetition_28,DONE,True, , , 
run_0_repetition_29,DONE,True, , , 
